id,resource_type,locator,translatable_string
66642cad-d9b3-4c3b-bd72-f1d58c05473f,DIALOG_NODES_TITLE,"workspace.dialog_nodes[type=""standard"", dialog_node=""Bem-vindo""].title","""Bem-vindo"""
f965625a-8e0d-43ee-9dbc-c408d22c9520,DIALOG_NODES_OUTPUT_GENERIC_VALUES_TEXT,"workspace.dialog_nodes[type=""standard"", dialog_node=""Bem-vindo""].output.generic[0].values[0].text","""Olá."""
bdfe31b9-7c14-4662-ab42-f799d43e3cdc,DIALOG_NODES_OUTPUT_GENERIC_VALUES_TEXT,"workspace.dialog_nodes[type=""standard"", dialog_node=""Bem-vindo""].output.generic[0].values[1].text","""Oi"""
3ec3a641-7189-40e6-82bc-5d12171cffe4,DIALOG_NODES_OUTPUT_GENERIC_VALUES_TEXT,"workspace.dialog_nodes[type=""standard"", dialog_node=""Bem-vindo""].output.generic[0].values[2].text","""E aí?"""
502ab496-9caa-4af7-a7cc-f8b37cb10b35,DIALOG_NODES_OUTPUT_GENERIC_VALUES_TEXT,"workspace.dialog_nodes[type=""standard"", dialog_node=""Bem-vindo""].output.generic[0].values[3].text","""Como vai?"""
5f725e47-242d-4f34-81d8-8ed745a940f2,DIALOG_NODES_OUTPUT_GENERIC_VALUES_TEXT,"workspace.dialog_nodes[type=""standard"", dialog_node=""Bem-vindo""].output.generic[0].values[4].text","""Salve salve!"""
bd6aaf24-a5b5-471d-a320-045daf5008c1,DIALOG_NODES_CONDITIONS,"workspace.dialog_nodes[type=""standard"", dialog_node=""Bem-vindo""].conditions","""welcome || @saudação || #saudação || @começar || #começar"""
ceade298-2044-4029-9da7-69fea4b58c5c,DIALOG_NODES_TITLE,"workspace.dialog_nodes[type=""standard"", dialog_node=""Em outros casos""].title","""Em outros casos"""
9a7c2dfc-13f3-4f92-b3f9-e10d8d322895,DIALOG_NODES_OUTPUT_GENERIC_VALUES_TEXT,"workspace.dialog_nodes[type=""standard"", dialog_node=""Em outros casos""].output.generic[0].values[0].text","""Eu não entendi. """
d0af33ee-c78c-4771-92e8-c60e01d750fa,DIALOG_NODES_OUTPUT_GENERIC_VALUES_TEXT,"workspace.dialog_nodes[type=""standard"", dialog_node=""Em outros casos""].output.generic[0].values[1].text","""Não compreendi. """
ffb15b12-1bc7-4f4a-b30e-c0dbacba3487,DIALOG_NODES_OUTPUT_GENERIC_VALUES_TEXT,"workspace.dialog_nodes[type=""standard"", dialog_node=""Em outros casos""].output.generic[0].values[2].text","""Essa eu não peguei."""
914ec6d2-0876-4099-be6e-5c3b233af302,DIALOG_NODES_CONDITIONS,"workspace.dialog_nodes[type=""standard"", dialog_node=""Em outros casos""].conditions","""anything_else && anything_else"""
a2c7cdb9-73b5-4181-9fb1-065c65a86f0d,DIALOG_NODES_TITLE,"workspace.dialog_nodes[type=""standard"", dialog_node=""node_10_1691614095945""].title","""perguntaInicial"""
d00b467f-e037-4b11-aa57-52a76382661d,DIALOG_NODES_OUTPUT_GENERIC_VALUES_TEXT,"workspace.dialog_nodes[type=""standard"", dialog_node=""node_10_1691614095945""].output.generic[0].values[0].text","""Como posso ajudar?"""
2398f47c-ec92-4414-8ac9-010e209ea974,DIALOG_NODES_OUTPUT_GENERIC_VALUES_TEXT,"workspace.dialog_nodes[type=""standard"", dialog_node=""node_10_1691614095945""].output.generic[0].values[1].text","""O que deseja saber?"""
b2c033e0-cdb0-4c2e-bf34-59fcc85b1c3a,DIALOG_NODES_OUTPUT_GENERIC_VALUES_TEXT,"workspace.dialog_nodes[type=""standard"", dialog_node=""node_10_1691614095945""].output.generic[0].values[2].text","""Como posso ser útil?"""
ccfed602-15cf-4d94-96f0-d9bd299afd5f,DIALOG_NODES_OUTPUT_GENERIC_VALUES_TEXT,"workspace.dialog_nodes[type=""standard"", dialog_node=""node_10_1691614095945""].output.generic[0].values[3].text","""Em que posso servir?"""
572da3de-83cf-4cc9-b029-3dfabbfe63f7,DIALOG_NODES_OUTPUT_GENERIC_VALUES_TEXT,"workspace.dialog_nodes[type=""standard"", dialog_node=""node_10_1691614095945""].output.generic[0].values[4].text","""O que gostaria de saber?"""
994044d7-c10d-4c8d-8314-f3949273e0b7,DIALOG_NODES_TITLE,"workspace.dialog_nodes[type=""standard"", dialog_node=""node_10_1691676276040""].title","""CURRICULO"""
556d42e8-00cf-433a-a69c-b559c225986d,DIALOG_NODES_OUTPUT_GENERIC_VALUES_TEXT,"workspace.dialog_nodes[type=""standard"", dialog_node=""node_10_1691676276040""].output.generic[0].values[0].text","""Se você quer ver o currículo de Maycon, clique no link https://www.linkedin.com/in/mayconbatestin/"""
4ea85467-345d-4834-aecc-cdf1c2e1cdc4,DIALOG_NODES_OUTPUT_GENERIC_VALUES_TEXT,"workspace.dialog_nodes[type=""standard"", dialog_node=""node_10_1691676276040""].output.generic[0].values[1].text","""Se estiver interessado em ver o currículo de Maycon, clique no link https://www.linkedin.com/in/mayconbatestin/."""
0db47f59-a0e0-464f-99be-257bf5311601,DIALOG_NODES_OUTPUT_GENERIC_VALUES_TEXT,"workspace.dialog_nodes[type=""standard"", dialog_node=""node_10_1691676276040""].output.generic[0].values[2].text","""Para conferir o currículo de Maycon, basta acessar o link https://www.linkedin.com/in/mayconbatestin/."""
2bc01a68-946a-4d5a-b202-593e1a291dda,DIALOG_NODES_OUTPUT_GENERIC_VALUES_TEXT,"workspace.dialog_nodes[type=""standard"", dialog_node=""node_10_1691676276040""].output.generic[0].values[3].text","""Se você gostaria de examinar o currículo de Maycon, o link https://www.linkedin.com/in/mayconbatestin/ está disponível."""
7a5e401c-b7d4-42eb-b470-56e681c529bf,DIALOG_NODES_OUTPUT_GENERIC_VALUES_TEXT,"workspace.dialog_nodes[type=""standard"", dialog_node=""node_10_1691676276040""].output.generic[0].values[4].text","""Caso queira dar uma olhada no currículo de Maycon, o link https://www.linkedin.com/in/mayconbatestin/ está à disposição."""
c92c0c69-d45a-4672-bc31-64537491da5f,DIALOG_NODES_CONDITIONS,"workspace.dialog_nodes[type=""standard"", dialog_node=""node_10_1691676276040""].conditions","""@Curriculo || #Curriculo"""
6c719f54-ede4-46d5-b0f4-32dae17db837,DIALOG_NODES_TITLE,"workspace.dialog_nodes[type=""standard"", dialog_node=""node_10_1691776446506""].title","""curriculo"""
e965fbe1-ca8e-4c5b-b6ea-dbb61a2083aa,DIALOG_NODES_CONDITIONS,"workspace.dialog_nodes[type=""standard"", dialog_node=""node_10_1691776446506""].conditions","""$curriculo && @Curriculo"""
63e88043-1094-429d-8b9b-89d837b6057c,DIALOG_NODES_TITLE,"workspace.dialog_nodes[type=""standard"", dialog_node=""node_1_1691614599247""].title","""Adeus"""
8c88ddd5-176c-4e19-ab10-24381f3d8830,DIALOG_NODES_OUTPUT_GENERIC_VALUES_TEXT,"workspace.dialog_nodes[type=""standard"", dialog_node=""node_1_1691614599247""].output.generic[0].values[0].text","""Volte sempre."""
4c0ad7de-a904-4703-b254-c9ffe2f42e97,DIALOG_NODES_OUTPUT_GENERIC_VALUES_TEXT,"workspace.dialog_nodes[type=""standard"", dialog_node=""node_1_1691614599247""].output.generic[0].values[1].text","""Bye Bye."""
17c5b520-26f3-4ed2-944b-ef28f5ddd185,DIALOG_NODES_OUTPUT_GENERIC_VALUES_TEXT,"workspace.dialog_nodes[type=""standard"", dialog_node=""node_1_1691614599247""].output.generic[0].values[2].text","""Agradeço o seu tempo. Volte sempre."""
f1a9d369-295f-4560-9c53-ff77cf7b10d7,DIALOG_NODES_OUTPUT_GENERIC_VALUES_TEXT,"workspace.dialog_nodes[type=""standard"", dialog_node=""node_1_1691614599247""].output.generic[0].values[3].text","""Tmj."""
679afa88-3edd-4626-914a-2c60e5a6daed,DIALOG_NODES_OUTPUT_GENERIC_VALUES_TEXT,"workspace.dialog_nodes[type=""standard"", dialog_node=""node_1_1691614599247""].output.generic[0].values[4].text","""Qualquer coisa é só chamar."""
7e73c8bb-9c36-4f25-bd52-908c72100383,DIALOG_NODES_CONDITIONS,"workspace.dialog_nodes[type=""standard"", dialog_node=""node_1_1691614599247""].conditions","""@ADEUS || #ADEUS"""
2f9431ad-4917-43ae-b376-dc3441f252d5,DIALOG_NODES_TITLE,"workspace.dialog_nodes[type=""standard"", dialog_node=""node_1_1691629259023""].title","""hardskill"""
4c28e765-b5fe-4aae-8ffc-5347521b4c10,DIALOG_NODES_OUTPUT_GENERIC_VALUES_TEXT,"workspace.dialog_nodes[type=""standard"", dialog_node=""node_1_1691629259023""].output.generic[0].values[0].text","""Para soft skill o Maycon possuí carisma, dedicação, auto disciplinamento, comunicação, pensamento crítico, liderança, gerenciamento de conflitos, proatividade e criatividade"""
9896530e-5548-4d59-9998-a35cf85b2ec0,DIALOG_NODES_TITLE,"workspace.dialog_nodes[type=""standard"", dialog_node=""node_1_1691670288673""].title","""skills softs"""
2fe5d230-a1c2-4f05-9f44-8ab99c3d490d,DIALOG_NODES_OUTPUT_GENERIC_VALUES_TEXT,"workspace.dialog_nodes[type=""standard"", dialog_node=""node_1_1691670288673""].output.generic[0].values[0].text","""Linguas: INGLES e PORTUGUES"""
4ed7ef60-7c55-4070-979c-e653cf56e703,DIALOG_NODES_TITLE,"workspace.dialog_nodes[type=""standard"", dialog_node=""node_1_1691711378760""].title","""dica"""
