I wanna fuck you,angry
Go to hell motherfuck,angry
I wanna rape you,angry
fuck off,angry
Ah fuck,angry
get away from me,angry
Nice tits,angry
piss off,angry
bugger off,angry
The bastard,angry
you are a bastard,angry
You motherfucker,angry
son of a bitch,angry
insulted,angry
the asshole,angry
Stop being an asshole!,angry
golly gee,angry
shucks,angry
go fuck yourself,angry
motherfuck,angry
you are a asshole,angry
you idiot,angry
you are very stupid,angry
stupid bot,angry
i hate you,angry
i wanna kill you,angry
what the story is about?,audiobook
can you read the story for me?,audiobook
Do you read Lord of The Ring?,audiobook
audiobook,audiobook
Tell me a story,audiobook
can you show me a story about you?,audiobook
"All of them at once, I suppose",bilboanswer
"Good evening, how are you?",evening
Good evening,evening
"Good evening, friends.",evening
"Good evening, everyone",evening
"Good evening, sir/ma'am.",evening
Where are you from?,General_About_You
Why are you here?,General_About_You
Who are you?,General_About_You
I want to set up the chat bot for my shop,General_About_You
What's your name?,General_About_You
Where were you born?,General_About_You
What should I know about you?,General_About_You
How do you function?,General_About_You
How old are you?,General_About_You
What languages do you speak?,General_About_You
Tell me something about yourself,General_About_You
Tell me about your life,General_About_You
Let us talk about you,General_About_You
Introduce your self,General_About_You
About you,General_About_You
Can I use another language?,General_About_You
Describe your self,General_About_You
Do you have a name?,General_About_You
Do you know who you are?,General_About_You
How can I configure you?,General_About_You
Can you please give me a list of the types of things you can help me with?,General_Agent_Capabilities
Do you have a list of things I can talk to you about?,General_Agent_Capabilities
"Hi, what do you do?",General_Agent_Capabilities
How can I use you?,General_Agent_Capabilities
How can you help me?,General_Agent_Capabilities
How can you solve my problems?,General_Agent_Capabilities
How do I use you?,General_Agent_Capabilities
I do not know what to ask,General_Agent_Capabilities
I'd like to know what type of questions you can answer for me.,General_Agent_Capabilities
Is there anything you can help me with?,General_Agent_Capabilities
Tell me about what kind of things you do?,General_Agent_Capabilities
Tell me something,General_Agent_Capabilities
What are my options that you can help with?,General_Agent_Capabilities
What are my options?,General_Agent_Capabilities
What are you able to deal with?,General_Agent_Capabilities
What are you able to understand?,General_Agent_Capabilities
What are you capable of?,General_Agent_Capabilities
What are you good at?,General_Agent_Capabilities
What are you used for?,General_Agent_Capabilities
What are your skills?,General_Agent_Capabilities
What can I ask you to do?,General_Agent_Capabilities
What do you do?,General_Agent_Capabilities
What do you handle?,General_Agent_Capabilities
What else can you help me with?,General_Agent_Capabilities
What features are in here?,General_Agent_Capabilities
What is this 4?,General_Agent_Capabilities
What kinds of things can you do?,General_Agent_Capabilities
Where can I find the frequently asked questions?,General_Agent_Capabilities
Can you tell me what services you are able to help me with?,General_Agent_Capabilities
Help now,General_Agent_Capabilities
Are you a robot?,General_Human_or_Bot
Are you even real?,General_Human_or_Bot
Are you human?,General_Human_or_Bot
Are you real?,General_Human_or_Bot
How can you prove you are a human?,General_Human_or_Bot
Is this a computer?,General_Human_or_Bot
"Tell me, are you a human or no?",General_Human_or_Bot
Am I chatting with a human?,General_Human_or_Bot
Am I talking to Watson?,General_Human_or_Bot
Am I talking to a Bot?,General_Human_or_Bot
Am I talking to a person or am I talking to an AI?,General_Human_or_Bot
Are you a human or a bot?,General_Human_or_Bot
Are there jokes?,General_Jokes
Another joke,General_Jokes
Can you tell a joke?,General_Jokes
Can you tell me a joke?,General_Jokes
Do you have a joke?,General_Jokes
Do you have humor?,General_Jokes
Do you like fun?,General_Jokes
Do you like humor?,General_Jokes
I am getting bored,General_Jokes
I want a joke,General_Jokes
I'm bored,General_Jokes
One more joke,General_Jokes
Surprise me with something hilarious,General_Jokes
Tell me a joke,General_Jokes
Tell me something funny,General_Jokes
What do you do for fun?,General_Jokes
What is your favorite joke?,General_Jokes
"""Hey! Afternoon!"" """,GoodAfternoon
Sup? Afternoon!,GoodAfternoon
Hi there! Good arvo!,GoodAfternoon
Hello! How's the afternoon treating you?,GoodAfternoon
"""Yo! Afternoon vibes!",GoodAfternoon
Good Morning,GoodMorning
"Good morning, everyone",GoodMorning
"Good morning, friends",GoodMorning
"Good morning, sir",GoodMorning
"Good morning, how are you?",GoodMorning
"Good morning,ma'am",GoodMorning
have a nice day,GoodMorning
I'd like to view a map of Lord of The Rings,maps
Can I see a map that displays Mordor,maps
Can I see a map that displays Middle-earth?,maps
Can I see a map that displays Lord of The Ring,maps
Can I see a map that displays Beleriand,maps
Can I see a map that displays Ardar,maps
Could you show me a map for surveying the expanse of Middle-earth?,maps
I'd like to check out a map that illustrates how Middle-earth is laid out.,maps
I'm keen on examining a map that showcases the topography of Middle-earth.,maps
Can you provide me with a map so I can inspect the regions of Middle-earth?,maps
Is it possible to have a look at a map depicting Middle-earth?,maps
I'm interested in seeing a map to navigate through the lands of Middle-earth.,maps
Could you show me a map featuring the geography of Middle-earth?,maps
want to visualize the layout of Middle-earth on a map.,maps
Can I see a map that displays Numenor,maps
I'd like to view a map of Ardar,maps
I'd like to view a map of Middle-earth.,maps
I'd like to view a map of Bereliand,maps
I'd like to view a map of Numenor,maps
I'd like to view a map of Valinor,maps
I'd like to view a map of Mordor,maps
I'd like to view a map of Erebor,maps
Sweet dreams,nigth
Catch you in the morning,nigth
Night,nigth
Sleep well,nigth
Nighty night,nigth
Are you interested in joining us for a game of charades?,riddle
I want to play charades!,riddle
I want to play riddles,riddle
I want to play puzzle,riddle
"""Would you like to play a game of charades?""",riddle
"""Could we play a game of charades?""",riddle
"""How about playing a round of charades?""",riddle
Would anyone be up for a game of charades?,riddle
Have you thought about playing charades as an option for fun?,riddle
Who's excited to play charades? I know I am!,riddle
"yes, my name is",userName
I'm Maycon,userName
My name is Gustavo,userName
My real name is Alberta,userName
You can call me Dorival,userName
You should call me Jessica,userName
Gift me your treasure trove of wisdom.,wisdow
Grace me with your seasoned judgment.,wisdow
Illuminate me with your brilliance.,wisdow
Share your pearls of wisdom with me,wisdow
Offer me your discerning viewpoint,wisdow
Endow me with your profound insights,wisdow
Provide me with your expert advice,wisdow
Confer your understanding upon me,wisdow
Bestow upon me your enlightenment.,wisdow
Grant me your experienced perspective.,wisdow
A wisdom today,wisdow
give me a tip,wisdow
give me a tips,wisdow
give me your wisdom,wisdow
Offer me your sagacity.,wisdow
Bless me with your guidance.,wisdow
Impart your knowledge to me.,wisdow
Share your insights with me.,wisdow
