mais uma vez,denovo
comecar novamente,denovo
recomecar,denovo
recomeco,denovo
denovo,denovo
estou precisando de ajuda,duvida
quero resolver uma duvida,duvida
deixa eu perguntar algo,duvida
me ajuda nessa duvida,duvida
estou com duvida,duvida
eu quero perguntar outra coisa,duvida
to com duvida,duvida
qual pokemon eh,infoPokemon
me mostre o pokemon,infoPokemon
quero saber q pokemon eh esse,infoPokemon
qual pokemon faz,infoPokemon
q tipo de pokemon eh,infoPokemon
que pokemon é esse,infoPokemon
nem pensar,nao
nao,nao
Não,nao
non,nao
no,nao
definitivamente nao,nao
claro que nao,nao
negativo,nao
de jeito nenhum,nao
afirmativo,sim
si,sim
yes,sim
pode sim,sim
com certeza,sim
pode ter certeza,sim
sim,sim
me explique quem é vc,sobre
o que vc faz,sobre
quero saber sobre vc,sobre
me fale de vc,sobre
porque vc,sobre
o que é pokechatbot,sobre
o que voce faz,sobre
o que tu faz,sobre
tu é o que,sobre
o que pode fazer,sobre
o que mais vc pode fazer,sobre
